"","POPULATION","CU_NAME","FULL_CU_IN","POP_ID","SPECIES_QUALIFIED","SPECIES","AREA","FAZ","MAZ","QUALITY","weight","nYears","CU_findex","PSE_region"
"PKE43417","Shawatlan River (Lower Skeena) Pink","NASS-SKEENA ESTUARY","PKO-14",43417,"PKE","Pink","4A","HecLow","NSKEst",7,0.119202922022118,7,NA,"Skeena"
"PKE43422","Silver Creek (Lower Skeena) Pink","NASS-SKEENA ESTUARY","PKO-14",43422,"PKE","Pink","4A","HecLow","NSKEst",4.11111111111111,0.119202922022118,34,NA,"Skeena"
"PKE43427","Mcnichol Creek (Lower Skeena) Pink","NASS-SKEENA ESTUARY","PKO-14",43427,"PKE","Pink","4A","HecLow","NSKEst",4.33333333333333,0.119202922022118,25,NA,"Skeena"
"PKE43432","La Hou Creek (Lower Skeena) Pink","NASS-SKEENA ESTUARY","PKO-14",43432,"PKE","Pink","4A","HecLow","NSKEst",3.90909090909091,0.119202922022118,36,NA,"Skeena"
"PKE43437","Boat Harbour Creek (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKE-7",43437,"PKE","Pink","3A","HecLow","NSKEst",4.25,0.119202922022118,7,NA,"Skeena"
"PKE43442","Brundige Creek (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-14",43442,"PKE","Pink","3A","HecLow","NSKEst",4.14285714285714,0.119202922022118,17,NA,"Skeena"
"PKE43447","Sandy Bay Creek (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-14",43447,"PKE","Pink","3A","HecLow","NSKEst",3.85714285714286,0.119202922022118,17,NA,"Skeena"
"PKE43452","Whitly Point Creek (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-14",43452,"PKE","Pink","3A","HecLow","NSKEst",4.25,0.119202922022118,14,NA,"Skeena"
"PKE43457","Stumaun Creek (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-14",43457,"PKE","Pink","3A","HecLow","NSKEst",3.63636363636364,0.119202922022118,36,NA,"Skeena"
"PKE43467","Trail Bay Creek (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKE-7",43467,"PKE","Pink","3A","LNR-P","NSKEst",7,0.119202922022118,1,NA,"Skeena"
"PKE43477","Lachmach River (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-17",43477,"PKE","Pink","3A","LNR-P","NSKEst",4,0.119202922022118,33,NA,"Nass"
"PKE43482","Leverson Creek (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-17",43482,"PKE","Pink","3A","LNR-P","NSKEst",7,0.119202922022118,11,NA,"Nass"
"PKE43487","Toon River (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-17",43487,"PKE","Pink","3A","LNR-P","NSKEst",3.25,0.119202922022118,33,NA,"Nass"
"PKE43492","Ensheshese River (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-17",43492,"PKE","Pink","3A","LNR-P","NSKEst",3.66666666666667,0.119202922022118,34,NA,"Nass"
"PKE43497","Sam Bay Creek (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-17",43497,"PKE","Pink","3A","LNR-P","NSKEst",4,0.119202922022118,16,NA,"Nass"
"PKE43502","Larch Creek (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-17",43502,"PKE","Pink","3A","LNR-P","NSKEst",4.22222222222222,0.119202922022118,14,NA,"Nass"
"PKE43507","Khutzeymateen River (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-17",43507,"PKE","Pink","3A","LNR-P","NSKEst",4.3,0.119202922022118,35,NA,"Nass"
"PKE43512","Mouse Creek (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-17",43512,"PKE","Pink","3A","LNR-P","NSKEst",3.85714285714286,0.119202922022118,13,NA,"Nass"
"PKE43517","Kwinamass River (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-17",43517,"PKE","Pink","3A","LNR-P","NSKEst",4.1,0.119202922022118,35,NA,"Nass"
"PKE43522","Nasoga Gulf Creek (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-17",43522,"PKE","Pink","3A","LNR-P","NSKEst",7,0.119202922022118,5,NA,"Nass"
"PKE43527","Stagoo Creek (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-17",43527,"PKE","Pink","3A","LNR-P","NSKEst",3.6,0.119202922022118,34,NA,"Nass"
"PKE43532","Perry Bay Creek (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-17",43532,"PKE","Pink","3A","LNR-P","NSKEst",7,0.119202922022118,1,NA,"Nass"
"PKE43537","Illiance River (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-17",43537,"PKE","Pink","3A","LNR-P","NSKEst",4.125,0.119202922022118,25,NA,"Nass"
"PKE43542","Wilauks Creek (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-17",43542,"PKE","Pink","3A","LNR-P","NSKEst",4.16666666666667,0.119202922022118,17,NA,"Nass"
"PKE43547","Kitsault River (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-17",43547,"PKE","Pink","3A","LNR-P","NSKEst",4.33333333333333,0.119202922022118,18,NA,"Nass"
"PKE43552","Olh Creek (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-17",43552,"PKE","Pink","3A","LNR-P","NSKEst",7,0.119202922022118,1,NA,"Nass"
"PKE43557","Kshwan River (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-17",43557,"PKE","Pink","3A","LNR-P","NSKEst",5,0.119202922022118,14,NA,"Nass"
"PKE43567","Cascade Creek (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-17",43567,"PKE","Pink","3A","LNR-P","NSKEst",7,0.119202922022118,1,NA,"Nass"
"PKE43572","Salmon Cove Creek (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-17",43572,"PKE","Pink","3A","LNR-P","NSKEst",4,0.119202922022118,10,NA,"Nass"
"PKE43577","Dogfish Creek (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-17",43577,"PKE","Pink","3A","LNR-P","NSKEst",4.375,0.119202922022118,33,NA,"Nass"
"PKE43582","Lizard Creek (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-17",43582,"PKE","Pink","3A","LNR-P","NSKEst",3.8,0.119202922022118,18,NA,"Nass"
"PKE43587","Pearse Canal Creek (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKE-7",43587,"PKE","Pink","3A","LNR-P","NSKEst",7,0.119202922022118,1,NA,"Skeena"
"PKE43592","Manzanita Cove Creek (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-17",43592,"PKE","Pink","3A","LNR-P","NSKEst",3.9,0.119202922022118,23,NA,"Nass"
"PKE43597","Tracy Bay Creek (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-17",43597,"PKE","Pink","3A","LNR-P","NSKEst",4,0.119202922022118,30,NA,"Nass"
"PKE43602","Cannery Creek (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-17",43602,"PKE","Pink","3A","LNR-P","NSKEst",7,0.119202922022118,7,NA,"Nass"
"PKE43607","Belle Bay Creek (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-17",43607,"PKE","Pink","3A","LNR-P","NSKEst",4.5,0.119202922022118,11,NA,"Nass"
"PKE43612","Roberson Creek (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-17",43612,"PKE","Pink","3A","LNR-P","NSKEst",7,0.119202922022118,9,NA,"Nass"
"PKE43617","Donahue Creek (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-17",43617,"PKE","Pink","3A","LNR-P","NSKEst",5,0.119202922022118,14,NA,"Nass"
"PKE43627","Georgie River (Lower Nass) Pink","NASS-SKEENA ESTUARY","PKO-17",43627,"PKE","Pink","3A","LNR-P","NSKEst",7,0.119202922022118,9,NA,"Nass"
"PKE43637","Bear River (Upper Nass) Pink","NASS-SKEENA ESTUARY","PKO-17",43637,"PKE","Pink","3B","LNR-P","NSKEst",7,0.119202922022118,9,NA,"Nass"
"PKE43647","Oatsoalis Creek (Rivers Inlet) Pink","HECATE LOWLANDS","PKE-5",43647,"PKE","Pink","9","HecLow","HStr",7,0.119202922022118,7,NA,"Central Coast"
"PKE43657","De Cosmos Lagoon Creek (Bella Coola) Pink","HECATE LOWLANDS","PKO-12",43657,"PKE","Pink","8","HecLow","HStr",7,0.119202922022118,5,NA,"Central Coast"
"PKE43662","Crab Harbour Creek (Bella Coola) Pink","HECATE LOWLANDS","PKO-12",43662,"PKE","Pink","8","HecLow","HStr",7,0.119202922022118,13,NA,"Central Coast"
"PKE43667","Watt Creek (Bella Bella) Pink","HECATE LOWLANDS","PKO-12",43667,"PKE","Pink","7","HecLow","HStr",7,0.119202922022118,2,NA,"Central Coast"
"PKE43677","Kildidt Lagoon #2 Creek (Bella Bella) Pink","HECATE LOWLANDS","PKO-12",43677,"PKE","Pink","7","HecLow","HStr",7,0.119202922022118,9,NA,"Central Coast"
"PKE43682","Stewart Creek (Bella Bella) Pink","HECATE LOWLANDS","PKO-12",43682,"PKE","Pink","7","HecLow","HStr",7,0.119202922022118,2,NA,"Central Coast"
"PKE43687","Choke Pass Creeks (3) (Bella Bella) Pink","HECATE LOWLANDS","PKO-12",43687,"PKE","Pink","7","HecLow","HStr",7,0.119202922022118,5,NA,"Central Coast"
"PKE43692","Cooper Inlet Creeks (Bella Bella) Pink","HECATE LOWLANDS","PKO-12",43692,"PKE","Pink","7","HecLow","HStr",7,0.119202922022118,26,NA,"Central Coast"
"PKE43697","Grassy Bay Creek (Bella Coola) Pink","HECATE LOWLANDS","PKE-5",43697,"PKE","Pink","8","HecLow","HStr",7,0.119202922022118,1,NA,"Central Coast"
"PKE43702","Kisameet River (Bella Coola) Pink","HECATE LOWLANDS","PKO-12",43702,"PKE","Pink","8","HecLow","HStr",7,0.119202922022118,16,NA,"Central Coast"
"PKE43707","Sagar Creek (Bella Coola) Pink","HECATE LOWLANDS","PKO-12",43707,"PKE","Pink","8","HecLow","HStr",5.5,0.119202922022118,30,NA,"Central Coast"
"PKE43712","Evans Inlet #3 Creek (Bella Coola) Pink","HECATE LOWLANDS","PKO-12",43712,"PKE","Pink","8","HecLow","HStr",5,0.119202922022118,28,NA,"Central Coast"
"PKE43717","Hook Nose Creek (Bella Coola) Pink","HECATE LOWLANDS","PKO-12",43717,"PKE","Pink","8","HecLow","HStr",5.125,0.119202922022118,33,NA,"Central Coast"
"PKE43722","Four Lakes Creek (Bella Coola) Pink","HECATE LOWLANDS","PKO-12",43722,"PKE","Pink","8","HecLow","HStr",6.33333333333333,0.119202922022118,9,NA,"Central Coast"
"PKE43727","Jenny Bay Creeks (Bella Coola) Pink","HECATE STRAIT-FJORDS","PKO-13",43727,"PKE","Pink","8","NC","HStr",5.5,0.119202922022118,29,NA,"Central Coast"
"PKE43732","Green River (Bella Coola) Pink","HECATE STRAIT-FJORDS","PKO-13",43732,"PKE","Pink","8","NC","HStr",7,0.119202922022118,9,NA,"Central Coast"
"PKE43737","Kadjusdis River (Bella Bella) Pink","HECATE LOWLANDS","PKO-12",43737,"PKE","Pink","7","HecLow","HStr",5.33333333333333,0.119202922022118,26,NA,"Central Coast"
"PKE43742","Kunsoot River (Bella Bella) Pink","HECATE LOWLANDS","PKO-12",43742,"PKE","Pink","7","HecLow","HStr",5.33333333333333,0.119202922022118,29,NA,"Central Coast"
"PKE43747","Drew Creek (Bella Bella) Pink","HECATE LOWLANDS","PKO-12",43747,"PKE","Pink","7","HecLow","HStr",7,0.119202922022118,1,NA,"Central Coast"
"PKE43752","Beale's Lagoon Creek (Bella Bella) Pink","HECATE LOWLANDS","PKO-12",43752,"PKE","Pink","7","HecLow","HStr",5.33333333333333,0.119202922022118,29,NA,"Central Coast"
"PKE43757","Sally Creek (Bella Bella) Pink","HECATE LOWLANDS","PKO-12",43757,"PKE","Pink","7","HecLow","HStr",7,0.119202922022118,7,NA,"Central Coast"
"PKE43762","Lilian Creek (Bella Bella) Pink","HECATE LOWLANDS","PKE-5",43762,"PKE","Pink","7","HecLow","HStr",7,0.119202922022118,1,NA,"Central Coast"
"PKE43767","Deer Pass Lagoon Creeks (Bella Bella) Pink","HECATE LOWLANDS","PKO-12",43767,"PKE","Pink","7","HecLow","HStr",7,0.119202922022118,6,NA,"Central Coast"
"PKE43772","Webster Lake Creek (Bella Bella) Pink","HECATE LOWLANDS","PKO-12",43772,"PKE","Pink","7","HecLow","HStr",5,0.119202922022118,27,NA,"Central Coast"
"PKE43777","Kwakiutl Creek (Bella Bella) Pink","HECATE LOWLANDS","PKO-12",43777,"PKE","Pink","7","HecLow","HStr",7,0.119202922022118,1,NA,"Central Coast"
"PKE43782","Robinson Creeks (Bella Bella) Pink","HECATE LOWLANDS","PKO-12",43782,"PKE","Pink","7","HecLow","HStr",7,0.119202922022118,9,NA,"Central Coast"
"PKE43787","Bulley Bay Creek (Bella Bella) Pink","HECATE LOWLANDS","PKO-12",43787,"PKE","Pink","7","HecLow","HStr",5,0.119202922022118,22,NA,"Central Coast"
"PKE43792","Price Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",43792,"PKE","Pink","6","HecLow","HStr",5.33333333333333,0.119202922022118,24,NA,"Central Coast"
"PKE43802","Quigley Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",43802,"PKE","Pink","6","HecLow","HStr",4.83333333333333,0.119202922022118,31,NA,"Central Coast"
"PKE43807","Powles Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",43807,"PKE","Pink","6","HecLow","HStr",5,0.119202922022118,28,NA,"Central Coast"
"PKE43812","Blee Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",43812,"PKE","Pink","6","HecLow","HStr",4.875,0.119202922022118,31,NA,"Central Coast"
"PKE43817","Bloomfield Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",43817,"PKE","Pink","6","HecLow","HStr",4.57142857142857,0.119202922022118,32,NA,"Central Coast"
"PKE43822","Fifer Cove Creek (Kitimat-Butedale) Pink","HECATE STRAIT-FJORDS","PKO-13",43822,"PKE","Pink","6","NC","HStr",4.85714285714286,0.119202922022118,24,NA,"Central Coast"
"PKE43827","Dally Creek (Kitimat-Butedale) Pink","HECATE STRAIT-FJORDS","PKO-13",43827,"PKE","Pink","6","NC","HStr",4.66666666666667,0.119202922022118,23,NA,"Central Coast"
"PKE43832","Snass Creek (Grenville Principe) Pink","NASS-SKEENA ESTUARY","PKO-14",43832,"PKE","Pink","5","HecLow","NSKEst",7,0.119202922022118,16,NA,"Skeena"
"PKE43837","Kitkatla Creek (Grenville Principe) Pink","NASS-SKEENA ESTUARY","PKO-14",43837,"PKE","Pink","5","HecLow","NSKEst",3.75,0.119202922022118,27,NA,"Skeena"
"PKE43842","Little Useless Creek (Lower Skeena) Pink","NASS-SKEENA ESTUARY","PKO-14",43842,"PKE","Pink","4A","HecLow","NSKEst",6.4,0.119202922022118,20,NA,"Skeena"
"PKE43847","Useless Creek (Lower Skeena) Pink","NASS-SKEENA ESTUARY","PKO-14",43847,"PKE","Pink","4A","HecLow","NSKEst",6.5,0.119202922022118,24,NA,"Skeena"
"PKE43852","Hunt Inlet Creek (Lower Skeena) Pink","NASS-SKEENA ESTUARY","PKO-14",43852,"PKE","Pink","4A","HecLow","NSKEst",7,0.119202922022118,6,NA,"Skeena"
"PKE43862","Otty Creek (Kitimat-Butedale) Pink","HECATE STRAIT-FJORDS","PKE-6",43862,"PKE","Pink","6","NC","HStr",7,0.119202922022118,1,NA,"Central Coast"
"PKE43867","Buie Creek (Kitimat-Butedale) Pink","HECATE STRAIT-FJORDS","PKO-13",43867,"PKE","Pink","6","NC","HStr",7,0.119202922022118,1,NA,"Central Coast"
"PKE43872","Arnoup Creek (Kitimat-Butedale) Pink","HECATE STRAIT-FJORDS","PKO-13",43872,"PKE","Pink","6","NC","HStr",4.45454545454545,0.119202922022118,36,NA,"Central Coast"
"PKE43877","Ronald Creek (Kitimat-Butedale) Pink","HECATE STRAIT-FJORDS","PKO-13",43877,"PKE","Pink","6","NC","HStr",5,0.119202922022118,21,NA,"Central Coast"
"PKE43882","Nais Creek (Kitimat-Butedale) Pink","HECATE STRAIT-FJORDS","PKO-13",43882,"PKE","Pink","6","NC","HStr",4.22222222222222,0.119202922022118,31,NA,"Central Coast"
"PKE43887","Packe Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",43887,"PKE","Pink","6","HecLow","HStr",5,0.119202922022118,23,NA,"Central Coast"
"PKE43892","Tyler Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",43892,"PKE","Pink","6","HecLow","HStr",4.54545454545455,0.119202922022118,34,NA,"Central Coast"
"PKE43897","Pyne Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",43897,"PKE","Pink","6","HecLow","HStr",4.2,0.119202922022118,30,NA,"Central Coast"
"PKE43902","Busey Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",43902,"PKE","Pink","6","HecLow","HStr",7,0.119202922022118,5,NA,"Central Coast"
"PKE43907","Trahey Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",43907,"PKE","Pink","6","HecLow","HStr",5,0.119202922022118,25,NA,"Central Coast"
"PKE43912","Steep Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",43912,"PKE","Pink","6","HecLow","HStr",7,0.119202922022118,8,NA,"Central Coast"
"PKE43917","Dallain Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",43917,"PKE","Pink","6","HecLow","HStr",5,0.119202922022118,17,NA,"Central Coast"
"PKE43922","Talamoosa Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",43922,"PKE","Pink","6","HecLow","HStr",7,0.119202922022118,14,NA,"Central Coast"
"PKE43927","Kent Inlet Lagoon #2 Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKE-5",43927,"PKE","Pink","6","HecLow","HStr",7,0.119202922022118,1,NA,"Central Coast"
"PKE43932","Evinrude Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",43932,"PKE","Pink","6","HecLow","HStr",7,0.119202922022118,8,NA,"Central Coast"
"PKE43937","Wale Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",43937,"PKE","Pink","6","HecLow","HStr",5.66666666666667,0.119202922022118,16,NA,"Central Coast"
"PKE43942","Argyh Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",43942,"PKE","Pink","6","HecLow","HStr",7,0.119202922022118,10,NA,"Central Coast"
"PKE43947","Penn Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",43947,"PKE","Pink","6","HecLow","HStr",7,0.119202922022118,6,NA,"Central Coast"
"PKE43952","Roland Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",43952,"PKE","Pink","6","HecLow","HStr",7,0.119202922022118,10,NA,"Central Coast"
"PKE43957","Douglas Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",43957,"PKE","Pink","6","HecLow","HStr",6,0.119202922022118,20,NA,"Central Coast"
"PKE43962","Chapple Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",43962,"PKE","Pink","6","HecLow","HStr",7,0.119202922022118,22,NA,"Central Coast"
"PKE43967","Barnard Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",43967,"PKE","Pink","6","HecLow","HStr",3.36363636363636,0.119202922022118,36,NA,"Central Coast"
"PKE43972","West Arm Creek (Kitimat-Butedale) Pink","HECATE STRAIT-FJORDS","PKO-13",43972,"PKE","Pink","6","NC","HStr",3.6,0.119202922022118,27,NA,"Central Coast"
"PKE43977","East Arm Creek (Kitimat-Butedale) Pink","HECATE STRAIT-FJORDS","PKO-13",43977,"PKE","Pink","6","NC","HStr",3.8,0.119202922022118,29,NA,"Central Coast"
"PKE43982","Whalen Creek (Kitimat-Butedale) Pink","HECATE STRAIT-FJORDS","PKO-13",43982,"PKE","Pink","6","NC","HStr",4.2,0.119202922022118,12,NA,"Central Coast"
"PKE43987","Devil Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",43987,"PKE","Pink","6","HecLow","HStr",7,0.119202922022118,16,NA,"Central Coast"
"PKE43992","Limestone Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",43992,"PKE","Pink","6","HecLow","HStr",4.6,0.119202922022118,28,NA,"Central Coast"
"PKE43997","Fury Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",43997,"PKE","Pink","6","HecLow","HStr",4.5,0.119202922022118,26,NA,"Central Coast"
"PKE44002","Don Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",44002,"PKE","Pink","6","HecLow","HStr",7,0.119202922022118,16,NA,"Central Coast"
"PKE44007","Linnea Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",44007,"PKE","Pink","6","HecLow","HStr",5.5,0.119202922022118,12,NA,"Central Coast"
"PKE44012","Duffey Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",44012,"PKE","Pink","6","HecLow","HStr",6,0.119202922022118,24,NA,"Central Coast"
"PKE44017","Noble  Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",44017,"PKE","Pink","6","HecLow","HStr",5,0.119202922022118,21,NA,"Central Coast"
"PKE44022","Kdelmashan Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",44022,"PKE","Pink","6","HecLow","HStr",6,0.119202922022118,20,NA,"Central Coast"
"PKE44027","Sentinel Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",44027,"PKE","Pink","6","HecLow","HStr",7,0.119202922022118,15,NA,"Central Coast"
"PKE44032","Clifford Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",44032,"PKE","Pink","6","HecLow","HStr",7,0.119202922022118,18,NA,"Central Coast"
"PKE44037","Flux Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",44037,"PKE","Pink","6","HecLow","HStr",5.33333333333333,0.119202922022118,21,NA,"Central Coast"
"PKE44042","Mcdonald Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",44042,"PKE","Pink","6","HecLow","HStr",7,0.119202922022118,8,NA,"Central Coast"
"PKE44047","Little Kettle Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",44047,"PKE","Pink","6","HecLow","HStr",7,0.119202922022118,2,NA,"Central Coast"
"PKE44052","Salmon Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",44052,"PKE","Pink","6","HecLow","HStr",7,0.119202922022118,9,NA,"Central Coast"
"PKE44057","Eagle Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",44057,"PKE","Pink","6","HecLow","HStr",4,0.119202922022118,26,NA,"Central Coast"
"PKE44062","Treneman Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",44062,"PKE","Pink","6","HecLow","HStr",7,0.119202922022118,16,NA,"Central Coast"
"PKE44067","Stannard Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",44067,"PKE","Pink","6","HecLow","HStr",6,0.119202922022118,24,NA,"Central Coast"
"PKE44072","Borrowman Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",44072,"PKE","Pink","6","HecLow","HStr",4,0.119202922022118,31,NA,"Central Coast"
"PKE44077","Fish Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",44077,"PKE","Pink","6","HecLow","HStr",7,0.119202922022118,16,NA,"Central Coast"
"PKE44082","Lake Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKE-5",44082,"PKE","Pink","6","HecLow","HStr",7,0.119202922022118,1,NA,"Central Coast"
"PKE44087","Estevan Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",44087,"PKE","Pink","6","HecLow","HStr",7,0.119202922022118,3,NA,"Central Coast"
"PKE44092","Cartwright Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",44092,"PKE","Pink","6","HecLow","HStr",7,0.119202922022118,12,NA,"Central Coast"
"PKE44097","Mcmicking Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",44097,"PKE","Pink","6","HecLow","HStr",7,0.119202922022118,10,NA,"Central Coast"
"PKE44107","Gil Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",44107,"PKE","Pink","6","HecLow","HStr",3.45454545454545,0.119202922022118,34,NA,"Central Coast"
"PKE44112","Ledge Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",44112,"PKE","Pink","6","HecLow","HStr",7,0.119202922022118,1,NA,"Central Coast"
"PKE44117","Skinner Island Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",44117,"PKE","Pink","6","HecLow","HStr",7,0.119202922022118,20,NA,"Central Coast"
"PKE44122","Black Rock Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",44122,"PKE","Pink","6","HecLow","HStr",3.33333333333333,0.119202922022118,29,NA,"Central Coast"
"PKE44127","Turn Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",44127,"PKE","Pink","6","HecLow","HStr",3.36363636363636,0.119202922022118,35,NA,"Central Coast"
"PKE44132","Crane Bay Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",44132,"PKE","Pink","6","HecLow","HStr",3.8,0.119202922022118,19,NA,"Central Coast"
"PKE44137","Turtle Creek (Kitimat-Butedale) Pink","HECATE LOWLANDS","PKO-12",44137,"PKE","Pink","6","HecLow","HStr",3.36363636363636,0.119202922022118,36,NA,"Central Coast"
"PKE44142","Gribble Island Creek (Kitimat-Butedale) Pink","HECATE STRAIT-FJORDS","PKO-13",44142,"PKE","Pink","6","NC","HStr",3.9,0.119202922022118,13,NA,"Central Coast"
"PKE44147","Riordan Creek (Kitimat-Butedale) Pink","HECATE STRAIT-FJORDS","PKO-13",44147,"PKE","Pink","6","NC","HStr",3.36363636363636,0.119202922022118,29,NA,"Central Coast"
"PKE44152","Evelyn Creek (Kitimat-Butedale) Pink","HECATE STRAIT-FJORDS","PKO-13",44152,"PKE","Pink","6","NC","HStr",3,0.119202922022118,35,NA,"Central Coast"
"PKE44157","Verney Passage Creek (Kitimat-Butedale) Pink","HECATE STRAIT-FJORDS","PKO-13",44157,"PKE","Pink","6","NC","HStr",3.44444444444444,0.119202922022118,17,NA,"Central Coast"
"PKE44162","Fishtrap Bay Creek (Kitimat-Butedale) Pink","HECATE STRAIT-FJORDS","PKO-13",44162,"PKE","Pink","6","NC","HStr",4.83333333333333,0.119202922022118,15,NA,"Central Coast"
"PKE44167","Little Tillhorn Creek (Kitimat-Butedale) Pink","HECATE STRAIT-FJORDS","PKO-13",44167,"PKE","Pink","6","NC","HStr",3.90909090909091,0.119202922022118,26,NA,"Central Coast"
"PKE44172","Big Tillhorn Creek (Kitimat-Butedale) Pink","HECATE STRAIT-FJORDS","PKO-13",44172,"PKE","Pink","6","NC","HStr",3.54545454545455,0.119202922022118,28,NA,"Central Coast"
"PKE44177","Lagoon Creek (Grenville Principe) Pink","HECATE LOWLANDS","PKO-12",44177,"PKE","Pink","5","HecLow","HStr",4.5,0.119202922022118,13,NA,"Central Coast"
"PKE44182","Stewart Creek (Grenville Principe) Pink","HECATE LOWLANDS","PKO-12",44182,"PKE","Pink","5","HecLow","HStr",3.66666666666667,0.119202922022118,30,NA,"Central Coast"
